id,artist,date_live,doors_time,location,address,genres,status,url,buy_link,image,price,date_created
dany-brillant,Dany Brillant,2026-02-27,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/dany-brillant/,https://apps.ticketmatic.com/widgets/casino2000/flow/new?event=512622241962&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/04/dany-brillant-photo-affiche-seule-cthomas-braut-scaled.jpg,42.00 EUR,2026-02-25T07:32:05.944547+00:00
charlie-winston,Charlie Winston,2026-02-28,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/charlie-winston/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=234280480756&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/02/charlie-winston-carre.jpg,39.00 EUR,2026-02-25T07:32:05.944547+00:00
barbara-pravi,Barbara Pravi,2026-03-05,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/barbara-pravi/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=189633208225&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/07/barbara-pravi-carre.jpg,42.00 EUR,2026-02-25T07:32:05.944547+00:00
sinclair,Sinclair,2026-03-07,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/sinclair/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=212732996028&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/03/sinclair-2026-carre-neutre.jpg,32.00 EUR,2026-02-25T07:32:05.944547+00:00
garou,Garou,2026-03-11,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/garou/,https://label-ln.trium.fr/fr/t/-/event/60607,https://casino2000.lu/wp-content/uploads/2025/04/garou-1080x1080-1.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
garou-2,Garou,2026-03-12,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/garou-2/,https://label-ln.trium.fr/fr/t/-/event/60607,https://casino2000.lu/wp-content/uploads/2025/04/garou-1080x1080-1.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
ycare,Ycare,2026-04-04,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/ycare/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=131746457716&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/06/ycare-carre.jpg,32.00 EUR,2026-02-25T07:32:05.944547+00:00
yannick-noah,Yannick Noah,2026-04-11,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/yannick-noah/,https://label-ln.trium.fr/fr/t/-/event/61028,https://casino2000.lu/wp-content/uploads/2025/03/carre.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
imany-17-avril-2026,Imany,2026-04-17,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/imany-17-avril-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=160110961679&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/12/imany.jpg,47.00 EUR,2026-02-25T07:32:05.944547+00:00
nino-dangelo,Nino d'Angelo,2026-04-25,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/nino-dangelo/,https://www.ticket-regional.de/events_info.php?eventID=249158,https://casino2000.lu/wp-content/uploads/2026/01/nino26-social-1080x1080-1.png,Price Unavailable,2026-02-25T07:32:05.944547+00:00
dj-mast-08-mai-2026,Génération 90-2000 avec DJ Mast,2026-05-08,21h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/dj-mast-08-mai-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=780545770133&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2024/06/generation90-2000-carre-2025-public-1024x1024.jpg,10.00 EUR,2026-02-25T07:32:05.944547+00:00
una-roberta-debarque-au-luxembourg-27-septembre-2026,Una Roberta débarque au Luxembourg,2026-09-27,16h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/una-roberta-debarque-au-luxembourg-27-septembre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=408183999956&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2026/01/una-roberta-carre.jpg,22.00 EUR,2026-02-25T07:32:05.944547+00:00
julien-clerc-29-octobre-2026,Julien Clerc,2026-10-09,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/julien-clerc-29-octobre-2026/,https://label-ln.trium.fr/fr/t/-/event/62951,https://casino2000.lu/wp-content/uploads/2025/09/julien-clerc-1080x1080-1.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
jimmy-sax-10-octobre-2026,Jimmy Sax,2026-10-10,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/jimmy-sax-10-octobre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=457236870690&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2026/01/jimmy-sax-carre.jpg,55.00 EUR,2026-02-25T07:32:05.944547+00:00
laurent-voulzy-23-octobre-2026,Laurent Voulzy,2026-10-23,20h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/laurent-voulzy-23-octobre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=559062622202&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/12/laurent-voulzy-01-philippe-abergel-bis.jpg,49.00 EUR,2026-02-25T07:32:05.944547+00:00
lilly-wood-the-prick-24-octobre-2026,Lilly Wood and The Prick,2026-10-24,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/lilly-wood-the-prick-24-octobre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=184600790570&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2026/02/lilly-wood-carre.jpg,29.00 EUR,2026-02-25T07:32:05.944547+00:00
pupo-25-octobre-2026,Pupo,2026-10-25,17h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/pupo-25-octobre-2026/,https://www.ticketmaster.de/event/pupo-pupo-50-world-tour-2025-2026-tickets/337880048,https://casino2000.lu/wp-content/uploads/2026/01/pupo26-social-1080x1080-1.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
salif-keita-29-octobre-2026,Salif Keita,2026-10-29,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/salif-keita-29-octobre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=151787527507&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2026/02/salif-keita-v2-carre.jpg,38.00 EUR,2026-02-25T07:32:05.944547+00:00
belinda-davids-13-novembre-2026,Belinda Davids,2026-11-13,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/belinda-davids-13-novembre-2026/,https://label-ln.trium.fr/fr/t/-/event/63177,https://casino2000.lu/wp-content/uploads/2025/10/belinda-davids-1080x1080-1.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
i-muvrini-15-novembre-2026,I Muvrini,2026-11-15,16h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/i-muvrini-15-novembre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=132622101504&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/12/i-muvrini-15112025.jpg,49.00 EUR,2026-02-25T07:32:05.944547+00:00
calogero-nov-2026,Calogero,2026-11-27,19h00,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/calogero-nov-2026/,https://label-ln.trium.fr/fr/t/-/event/62380,https://casino2000.lu/wp-content/uploads/2025/07/calogero-web.jpg,Price Unavailable,2026-02-25T07:32:05.944547+00:00
coeur-de-pirate-28-novembre-2026,Coeur de Pirate,2026-11-28,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/coeur-de-pirate-28-novembre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/new?event=260727885747&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/11/cdp-3-maxime-g-delisle-scaled.jpg,39.00 EUR,2026-02-25T07:32:05.944547+00:00
jeremy-charbonnel-19-decembre-2026,Jeremy Charbonnel,2026-12-19,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/jeremy-charbonnel-19-decembre-2026/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=476019419898&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2025/12/jeremy-charbonnel-presse-5-studio-lisa-levy-petit-web.jpg,22.00 EUR,2026-02-25T07:32:05.944547+00:00
skip-the-use-13-fevrier-2027,Skip The Use,2027-02-13,19h30,Casino 2000,"Route de Mondorf, L-5618 Mondorf-les-Bains",Concerts,buy_now,https://casino2000.lu/fr/events/skip-the-use-13-fevrier-2027/,https://apps.ticketmatic.com/widgets/casino2000/flow/tickets?event=754043914655&l=fr#!/addtickets,https://casino2000.lu/wp-content/uploads/2026/02/skip-the-use-carre.jpg,39.00 EUR,2026-02-25T07:32:05.944547+00:00
